,Age,G,MP,FGA,3PA,FTA,TRB,AST,PTS,ShotVolume
count,14573.0,14573.0,14573.0,14573.0,14573.0,14573.0,14573.0,14573.0,14573.0,14573.0
mean,26.705,45.545,19.624,6.599,1.704,1.872,3.43,1.758,7.853,9.126
std,4.252,26.11,9.957,4.542,1.84,1.7,2.434,1.762,5.84,6.424
min,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,23.0,22.0,11.4,3.1,0.1,0.7,1.7,0.5,3.4,4.108
50%,26.0,48.0,18.9,5.5,1.1,1.4,2.9,1.2,6.4,7.54
75%,30.0,70.0,27.7,9.2,2.8,2.5,4.6,2.3,11.1,12.784
max,44.0,85.0,43.7,27.8,13.2,13.1,18.0,12.8,36.1,42.54
